1 3913850
2 2058140
3 1411860
4 1014010
5 846404
6 711977
7 629985
8 546324
9 473899
10 467692
11 395753
12 378133
13 348662
14 357473
15 317377
16 295936
17 283384
18 299733
19 287269
20 267587
21 281341
22 291203
23 293385
24 268567
25 260102
26 279584
27 292852
28 278888
29 271221
30 262586
